id,Categories,Services- Health & Wellness,Services- Teaching,Services – Arts & Craft,Services – Music,Services – Cooking
1,Health & Wellness,Yoga,Math,Painting,Piano,Punjabi Food
2,Teaching,Meditation,Physics,Pot Painting,Guitar Hawain,South Indian Food
3,Arts & Craft,,Science,Portraits,Guitar Spanish,North India
4,Music,,Chemistry,Poster Making,Guitar ,Aloo Parantha
5,Cooking,,Biology,Pottery,Classical India,Gobi Parantha
,,,History,Needle work,Classical Western,Sambar
,,,Civics,Oragami,Bollywood Music,
,,,Social Studies,,,
,,,English,,,
,,,Grade 6 Math,,,
,,,Grade 7 Math,,,
,,,Grade 8 Math,,,
,,,,,,
,,,,,,
,,,,,,
,id,value,categoryMapping,,,
,1,Yoga,1,,,
,2,Meditation,1,,,
,3,Math,2,,,
,4,Physics,2,,,
,5,Science,2,,,
,6,Chemistry,2,,,
,7,Biology,2,,,
,8,History,2,,,
,9,Civics,2,,,
,10,Social Studies,2,,,
,11,English,2,,,
,12,Grade 6 Math,2,,,
,13,Grade 7 Math,2,,,
,14,Grade 8 Math,2,,,
,15,Painting,3,,,
,16,Pot Painting,3,,,
,17,Portraits,3,,,
,18,Poster Making,3,,,
,19,Pottery,3,,,
,20,Needle work,3,,,
,21,Oragami,3,,,
,22,Piano,4,,,
,23,Guitar Hawain,4,,,
,24,Guitar Spanish,4,,,
,25,Guitar ,4,,,
,26,Classical India,4,,,
,27,Classical Western,4,,,
,28,Bollywood Music,4,,,
,29,Punjabi Food,5,,,
,30,South Indian Food,5,,,
,31,North India,5,,,
,32,Aloo Parantha,5,,,
,33,Gobi Parantha,5,,,
,34,Sambhar,5,,,
